user_id,cluster
5145791,4
5180781,2
5253351,0
5268621,0
5270141,0
5283382,0
5302652,0
5332452,0
5347202,2
5357042,0
5360012,2
5361852,0
5371532,0
5374332,0
5377542,0
5379272,0
5380592,0
5381732,0
5384772,0
5392522,8
5397332,0
5399012,0
5402612,0
5405152,0
5405752,0
5408512,0
5408562,2
5408712,5
5409972,4
5416222,0
5416602,0
5418192,0
5426592,8
5435212,3
5438322,1
5443582,0
5446942,0
5447242,0
5449042,0
5464132,0
5465672,0
5468302,9
5468902,0
5471472,0
5474512,0
5477672,0
5477722,4
5496932,0
5500132,2
5508672,0
5510112,0
5511332,0
5513002,6
5514192,0
5520672,0
5526202,3
5528022,0
5530062,0
5531822,0
5536372,2
5539462,0
5539902,0
5542772,0
5548772,0
5553882,0
5558312,0
5561562,3
5565722,3
5566092,0
5571722,0
5579742,0
5582742,0
5610592,6
5615322,0
5615652,6
5618162,0
5627012,0
5628592,0
5633152,0
5637562,2
5644772,0
5654712,0
5654932,0
5655742,0
5655852,3
5657302,0
5660532,0
5660912,0
5663052,0
5663932,3
5666382,0
5668382,0
5668662,0
5669772,0
5673202,0
5685012,0
5686162,0
5688112,0
5689062,0
5691492,0
5692542,0
5692662,0
5693842,4
5694412,0
5694932,0
5695632,0
5696422,0
5698002,0
5698952,0
5699462,0
5700782,0
5703342,0
5704532,8
5706212,1
5710382,0
5713842,0
5718862,2
5720842,3
5721872,9
5722492,0
5723662,0
5734332,0
5736042,9
5741722,8
5743162,0
5743172,0
5744772,4
5746452,2
5751602,0
5751952,0
5752602,0
5753742,0
5755292,0
5763262,0
5766682,3
5767252,0
5768872,0
5770442,2
5774442,0
5776022,2
5777632,0
5780652,9
5781852,0
5795152,0
5808232,4
5812292,1
5817092,0
5820642,0
5820872,8
5832712,0
5836422,6
5839642,9
5840872,0
5842652,0
5845412,0
5848122,0
5849252,8
5854302,2
5855292,0
5858962,4
5860812,0
5864232,0
5865652,0
5865752,0
5871672,2
5872012,0
5879192,0
5891922,6
5902162,0
5907042,9
5911972,0
5917732,3
5924032,9
5931482,0
5931862,0
5933862,0
5934402,0
5942812,0
5944152,9
5945752,0
5947242,8
5948022,2
5951442,9
5954642,0
5955272,6
5956062,0
5959092,2
5959342,0
5966412,0
5969732,1
5969822,0
5971922,0
5972162,2
5981342,0
5986922,0
5988062,2
5988202,0
5997632,0
5998492,9
6010622,0
6017542,0
6021962,3
6022252,8
6022912,0
6025712,0
6029222,0
6035262,5
6038512,4
6039302,0
6043922,0
6044652,6
6044762,0
6048872,0
6060122,0
6084822,2
6089982,3
6092972,0
6094772,0
6094842,0
6096642,0
6101412,2
6106362,9
6114542,0
6115072,0
6122142,0
6125642,3
6128652,0
6133472,0
6133942,2
6134882,8
6137652,0
6170642,0
6173382,2
6186292,0
6186522,0
6187652,0
6188122,0
6191332,0
6200112,0
6202692,0
6203382,3
6204542,0
6212382,2
6212602,5
6212832,0
6219582,0
6220832,2
6221502,5
6225582,3
6229662,0
6233792,0
6238052,0
6239772,0
6242812,8
6244152,0
6246582,0
6246612,3
6248652,8
6248922,0
6260092,6
6262302,2
6262792,0
6264542,2
6265422,0
6266792,1
6273392,0
6274792,5
6284612,0
6288372,0
6293442,0
6293942,3
6294222,0
6295782,0
6299962,0
6304662,0
6314042,0
6323932,0
6327532,0
6332292,0
6333062,0
6333992,0
6335572,0
6344032,0
6348882,3
6352662,6
6355882,0
6361512,0
6364702,8
6365662,0
6383072,0
